date,open,high,low,ltp,percent_change,qty,turnover
2026-04-21,252.0,252.0,252.0,252.0,0.0,50000,12600000.0
2025-01-07,388.0,388.0,388.0,388.0,0.0,2000,776000.0
2024-10-06,312.0,312.0,312.0,312.0,0.0,530000,145750000.0
2024-05-16,312.0,312.0,312.0,312.0,1.3,75426,23532912.0
2024-03-07,308.0,308.0,308.0,308.0,0.0,25000,7700000.0
2024-03-06,308.0,308.0,308.0,308.0,0.0,50000,15400000.0
2024-03-05,308.0,308.0,308.0,308.0,0.0,50000,15400000.0
2023-12-19,365.0,365.0,365.0,365.0,-4.45,214699,78365135.0
2023-08-10,382.0,382.0,382.0,382.0,0.0,20000,7640000.0
2023-03-14,340.1,340.1,340.1,340.1,0.0,12267,4172006.7
2023-03-05,340.1,340.1,340.1,340.1,-1.99,114500,38941450.0
2022-12-01,274.0,274.0,274.0,274.0,0.0,12500,3425000.0
2022-07-03,317.0,317.0,317.0,317.0,0.0,94095,29828115.0
2022-01-19,679.0,679.0,679.0,679.0,0.0,140800,70537984.0
2021-11-30,679.0,679.0,679.0,679.0,0.0,3648,2476992.0
2021-09-20,657.0,657.0,657.0,657.0,-1.94,10000,6570000.0
2021-09-14,683.1,683.1,670.0,670.0,-3.87,20000,13401310.0
2021-07-28,697.0,697.0,697.0,697.0,0.0,50000,34850000.0
2021-07-27,697.0,697.0,697.0,697.0,0.0,216000,139182660.0
2021-01-18,380.0,380.0,380.0,380.0,0.0,2285,868300.0
2020-12-28,380.0,380.0,380.0,380.0,0.0,5988,2275440.0
2020-12-03,380.0,380.0,380.0,380.0,0.0,200000,76000000.0
2020-11-18,110.0,110.0,110.0,110.0,0.0,178410,19625100.0
2020-10-11,384.0,384.0,384.0,384.0,-1.79,16755,6433920.0
2020-09-06,391.0,391.0,391.0,391.0,0.0,55576,21730200.0
2020-08-31,391.0,391.0,391.0,391.0,0.0,150000,58650000.0
2020-06-29,260.0,260.0,260.0,260.0,0.0,25000,6500000.0
2020-02-05,260.0,260.0,260.0,260.0,0.0,50000,13000040.0
2020-01-16,260.0,260.0,260.0,260.0,0.0,37440,9734400.0
2019-12-19,260.0,260.0,260.0,260.0,-0.95,27500,7150000.0
2019-10-15,262.5,262.5,262.5,262.5,0.19,140800,36960000.0
2019-05-22,262.0,262.0,262.0,262.0,0.0,35138,9206156.0
2019-05-16,262.0,262.0,262.0,262.0,-25.14,140800,36889600.0
2019-02-03,350.0,350.0,350.0,350.0,0.0,6751,2362850.0
2018-12-10,350.0,350.0,350.0,350.0,0.0,55673,19485550.0
2018-09-20,350.0,350.0,350.0,350.0,0.0,32760,11466000.0
2018-09-06,350.0,350.0,350.0,350.0,0.0,159297,55753952.0
2018-01-21,720.0,706.0,700.0,700.0,0.0,13182,9246492.0
2018-01-09,720.0,720.0,719.0,720.0,0.0,14000,10079500.0
2018-01-04,800.0,785.0,720.0,720.0,0.0,166017,122695792.0
2017-10-30,800.0,800.0,800.0,800.0,0.0,3855,3084000.0
2017-10-16,800.0,800.0,800.0,800.0,0.0,22268,17814400.0
2017-09-13,800.0,800.0,800.0,800.0,0.0,24000,19200000.0
2017-06-05,800.0,800.0,800.0,800.0,0.0,60000,48000000.0
2017-06-01,817.0,801.0,800.0,800.0,0.0,77933,62364332.0
2017-05-15,833.0,817.0,817.0,817.0,0.0,75000,61275000.0
2017-01-24,850.0,833.0,833.0,833.0,0.0,28239,23523088.0
2016-11-27,860.0,850.0,850.0,850.0,0.0,8836,7510600.0
2016-09-26,860.0,860.0,860.0,860.0,0.0,52125,44827500.0
2016-04-21,710.0,724.0,724.0,724.0,0.0,2108,1526192.0
2016-03-30,710.0,710.0,710.0,710.0,0.0,41096,29178160.0
2015-10-11,575.0,575.0,551.0,575.0,0.0,42805,23586276.0
2015-07-08,500.0,490.0,490.0,490.0,0.0,18000,8820000.0
2015-03-19,561.0,570.0,561.0,570.0,0.0,22900,13026900.0
2015-03-18,524.0,561.0,534.0,561.0,0.0,75300,42238200.0
2015-03-17,486.0,524.0,495.0,524.0,0.0,400,203700.0
2015-03-16,450.0,486.0,459.0,486.0,0.0,400,189000.0
2015-03-12,434.0,450.0,442.0,450.0,0.0,200,89200.0
2015-03-11,402.0,434.0,410.0,434.0,0.0,400,168800.0
2015-03-10,374.0,402.0,381.0,402.0,0.0,400,156600.0
2015-03-09,347.0,374.0,353.0,374.0,0.0,23544,8441855.0
2015-03-04,329.0,347.0,335.0,347.0,0.0,15000,5111652.0
2015-01-25,323.0,329.0,329.0,329.0,0.0,11105,3653545.0
2015-01-22,323.0,323.0,323.0,323.0,0.0,25000,8075000.0
2015-01-06,317.0,323.0,323.0,323.0,0.0,27508,8885084.0
2014-11-13,551.0,317.0,317.0,317.0,0.0,7221,2289057.0
2014-11-12,310.0,0.0,0.0,310.0,0.0,108312,59679912.0
2014-06-02,315.0,310.0,310.0,310.0,0.0,20630,6395300.0
2014-06-01,326.0,320.0,315.0,315.0,0.0,26577,8457715.0
2014-05-27,338.0,332.0,326.0,326.0,0.0,51578,16917586.0
2014-05-22,350.0,344.0,338.0,338.0,0.0,62508,21187704.0
2014-04-27,378.0,371.0,350.0,350.0,0.0,178800,62580840.0
2014-04-23,385.0,378.0,378.0,378.0,0.0,9385,3547530.0
2014-03-09,0.0,385.0,385.0,385.0,0.0,15130,5825050.0
