date,open,high,low,ltp,percent_change,qty,turnover
2024-06-23,267.6,267.6,267.6,267.6,-1.98,61545,16469442.0
2024-06-09,273.0,273.0,273.0,273.0,0.0,61544,16801512.0
2024-04-09,273.0,273.0,273.0,273.0,0.0,18494,5048862.0
2023-12-06,285.0,285.0,285.0,285.0,0.0,19437,5539545.0
2021-12-22,217.0,217.0,217.0,217.0,0.0,3000,825000.0
2021-10-04,217.0,217.0,217.0,217.0,0.0,5900,2030311.0
2020-12-28,217.0,217.0,217.0,217.0,0.0,1000,217000.0
2019-09-24,100.0,100.0,100.0,100.0,0.0,554,55400.0
2019-08-28,100.0,100.0,100.0,100.0,-7.41,48000,4800000.0
2018-08-19,108.0,108.0,108.0,108.0,-1.82,4806,519048.0
2018-04-08,108.0,108.0,108.0,108.0,0.0,11450,1236600.0
2017-10-25,110.0,108.0,108.0,108.0,0.0,1000,108000.0
2017-10-24,110.0,110.0,110.0,110.0,0.0,3000,330000.0
2017-08-27,110.0,110.0,110.0,110.0,0.0,58619,6448090.0
2016-12-12,196.0,193.0,192.0,193.0,0.0,56522,10884180.0
2016-12-11,200.0,196.0,196.0,196.0,0.0,32957,6459572.0
